Month,count
2021-05,16079
2021-06,14087
2021-07,13948
2021-08,13805
2021-09,13274
2021-10,15092
2021-11,14400
2021-12,13010
2022-01,14762
2022-02,13434
2022-03,15322
2022-04,13172
2022-05,14778
2022-06,13591
2022-07,15208
2022-08,14739
2022-09,13328
2022-10,14632
2022-11,14634
2022-12,13297
2023-01,14734
2023-02,13126
2023-03,14801
2023-04,13681
2023-05,14352
2023-06,14163
2023-07,14799
2023-08,13991
2023-09,13032
2023-10,13285
2023-11,12962
2023-12,12817
2024-01,13303
2024-02,13047
2024-03,13390
2024-04,12552
